Attribute,Attribute,ISBLANK,Description,Value,Missing_value,Meaning
,ALTER_HH,1,main age within the household,21,[0],01.01.1995 bis 31.12.1999
ANREDE_KZ,ANREDE_KZ,0,gender,"-1, 0","[-1,0]",unknown
,ANREDE_KZ,1,gender,1,"[-1,0]",male
,ANREDE_KZ,1,gender,2,"[-1,0]",female
ANZ_HAUSHALTE_AKTIV,ANZ_HAUSHALTE_AKTIV,0,number of households in the building,,,numeric value (typically coded from 1-10)
ANZ_HH_TITEL,ANZ_HH_TITEL,0,number of academic title holder in building,,,numeric value (typically coded from 1-10)
ANZ_PERSONEN,ANZ_PERSONEN,0,number of adult persons in the household,,,numeric value (typically coded from 1-3)
ANZ_TITEL,ANZ_TITEL,0,number of professional title holder in household,,,numeric value (typically coded from 1-10)
BALLRAUM,BALLRAUM,0,distance to next urban centre,-1,[-1],unknown
,BALLRAUM,1,distance to next urban centre,1,[-1],till 10 km
,BALLRAUM,1,distance to next urban centre,2,[-1],10 - 20 km
,BALLRAUM,1,distance to next urban centre,3,[-1],20 - 30 km
,BALLRAUM,1,distance to next urban centre,4,[-1],30 - 40 km
,BALLRAUM,1,distance to next urban centre,5,[-1],40 - 50 km
,BALLRAUM,1,distance to next urban centre,6,[-1],50-100 km
,BALLRAUM,1,distance to next urban centre,7,[-1],more than 100 km
BIP_FLAG,BIP_FLAG,0,business-flag indicating companies in the building,-1,[-1],unknown
,BIP_FLAG,1,business-flag indicating companies in the building,0,[-1],no company in the building
,BIP_FLAG,1,business-flag indicating companies in the building,1,[-1],company in the building
CAMEO_DEUG_2015,CAMEO_DEUG_2015,0,CAMEO classification 2015 - Uppergroup,-1,[-1],unknown
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,1,[-1],upper class
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,2,[-1],upper middleclass
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,3,[-1],established middleclasse
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,4,[-1],consumption-oriented middleclass
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,5,[-1],active middleclass
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,6,[-1],low-consumption middleclass
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,7,[-1],lower middleclass
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,8,[-1],working class
,CAMEO_DEUG_2015,1,CAMEO classification 2015 - Uppergroup,9,[-1],urban working class
CAMEO_DEU_2015,CAMEO_DEU_2015,0,CAMEO classification 2015 - detailled classification,1A,[-1],Work-Life-Balance
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,1B,[-1],Wealthy Best Ager
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,1C,[-1],Successful Songwriter
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,1D,[-1],Old Nobility
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,1E,[-1],City Nobility
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,2A,[-1],Cottage Chic
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,2B,[-1],Noble Jogger
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,2C,[-1],Established gourmet
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,2D,[-1],Fine Management
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,3A,[-1],Career & Family
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,3B,[-1],Powershopping Families
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,3C,[-1],Rural Neighborhood
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,3D,[-1],Secure Retirement
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,4A,[-1],Family Starter
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,4B,[-1],Family Life
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,4C,[-1],String Trimmer
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,4D,[-1],Empty Nest
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,4E,[-1],Golden Ager
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,5A,[-1],Younger Employees
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,5B,[-1],Suddenly Family
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,5C,[-1],Family First
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,5D,[-1],Stock Market Junkies
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,5E,[-1],Coffee Rider
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,5F,[-1],Active Retirement
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,6A,[-1],Jobstarter
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,6B,[-1],Petty Bourgeois
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,6C,[-1],Long-established
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,6D,[-1],Sportgardener
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,6E,[-1],Urban Parents
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,6F,[-1],Frugal Aging
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,7A,[-1],Journeymen
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,7B,[-1],Mantaplatte
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,7C,[-1],Factory Worker
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,7D,[-1],Rear Window
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,7E,[-1],Interested Retirees
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,8A,[-1],Multi-culteral
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,8B,[-1],Young & Mobile
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,8C,[-1],Prefab
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,8D,[-1],Town Seniors
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,9A,[-1],First Shared Apartment
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,9B,[-1],Temporary Workers
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,9C,[-1],Afternoon Talk Show
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,9D,[-1],Mini-Jobber
,CAMEO_DEU_2015,1,CAMEO classification 2015 - detailled classification,9E,[-1],Socking Away
CAMEO_DEUINTL_2015,CAMEO_DEUINTL_2015,0,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),-1,[-1],unknown
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),11,[-1],Wealthy Households-Pre-Family Couples & Singles
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),12,[-1],Wealthy Households-Young Couples With Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),13,[-1],Wealthy Households-Families With School Age Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),14,[-1],Wealthy Households-Older Families &  Mature Couples
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),15,[-1],Wealthy Households-Elders In Retirement
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),21,[-1],Prosperous Households-Pre-Family Couples & Singles
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),22,[-1],Prosperous Households-Young Couples With Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),23,[-1],Prosperous Households-Families With School Age Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),24,[-1],Prosperous Households-Older Families & Mature Couples
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),25,[-1],Prosperous Households-Elders In Retirement
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),31,[-1],Comfortable Households-Pre-Family Couples & Singles
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),32,[-1],Comfortable Households-Young Couples With Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),33,[-1],Comfortable Households-Families With School Age Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),34,[-1],Comfortable Households-Older Families & Mature Couples
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),35,[-1],Comfortable Households-Elders In Retirement
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),41,[-1],Less Affluent Households-Pre-Family Couples & Singles
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),42,[-1],Less Affluent Households-Young Couples With Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),43,[-1],Less Affluent Households-Families With School Age Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),44,[-1],Less Affluent Households-Older Families & Mature Couples
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),45,[-1],Less Affluent Households-Elders In Retirement
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),51,[-1],Poorer Households-Pre-Family Couples & Singles
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),52,[-1],Poorer Households-Young Couples With Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),53,[-1],Poorer Households-Families With School Age Children
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),54,[-1],Poorer Households-Older Families & Mature Couples
,CAMEO_DEUINTL_2015,1,CAMEO classification 2015 - international typology (each German CAMEO code belongs to one international code),55,[-1],Poorer Households-Elders In Retirement
CJT_GESAMTTYP,CJT_GESAMTTYP,0,customer journey typology,0,[0],unknown
,CJT_GESAMTTYP,1,customer journey typology,1,[0],Advertising- and Consumptionminimalist
,CJT_GESAMTTYP,1,customer journey typology,2,[0],Advertising- and Consumptiontraditionalist
,CJT_GESAMTTYP,1,customer journey typology,3,[0],advertisinginterested Store-shopper
,CJT_GESAMTTYP,1,customer journey typology,4,[0],advertisinginterested Online-shopper
,CJT_GESAMTTYP,1,customer journey typology,5,[0],Advertising- and Cross-Channel-Enthusiast
,CJT_GESAMTTYP,1,customer journey typology,6,[0],Advertising-Enthusiast with restricted Cross-Channel-Behaviour
D19_BANKEN_ANZ_12,D19_BANKEN_ANZ_12,0,transaction activity BANKS in the last 12 months,0,[0],no transactions known
,D19_BANKEN_ANZ_12,1,transaction activity BANKS in the last 12 months,1,[0],very low activity
,D19_BANKEN_ANZ_12,1,transaction activity BANKS in the last 12 months,2,[0],low activity
,D19_BANKEN_ANZ_12,1,transaction activity BANKS in the last 12 months,3,[0],slightly increased activity
,D19_BANKEN_ANZ_12,1,transaction activity BANKS in the last 12 months,4,[0],increased activity
,D19_BANKEN_ANZ_12,1,transaction activity BANKS in the last 12 months,5,[0],high activity
,D19_BANKEN_ANZ_12,1,transaction activity BANKS in the last 12 months,6,[0],very high activity
D19_BANKEN_ANZ_24,D19_BANKEN_ANZ_24,0,transaction activity BANKS in the last 24 months,0,[0],no transactions known
,D19_BANKEN_ANZ_24,1,transaction activity BANKS in the last 24 months,1,[0],very low activity
,D19_BANKEN_ANZ_24,1,transaction activity BANKS in the last 24 months,2,[0],low activity
,D19_BANKEN_ANZ_24,1,transaction activity BANKS in the last 24 months,3,[0],slightly increased activity
,D19_BANKEN_ANZ_24,1,transaction activity BANKS in the last 24 months,4,[0],increased activity
,D19_BANKEN_ANZ_24,1,transaction activity BANKS in the last 24 months,5,[0],high activity
,D19_BANKEN_ANZ_24,1,transaction activity BANKS in the last 24 months,6,[0],very high activity
D19_BANKEN_DATUM,D19_BANKEN_DATUM,0,actuality of the last transaction for the segment banks TOTAL,1,[10],highest activity within the last 12 months
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,2,[10],very high activity within the last 12 months
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,3,[10],high activity within the last 12 months
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,4,[10],increased activity within the last 12 months
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,5,[10],slightly increased activity within the last 12 months
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,6,[10],activity elder than 1 year
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,7,[10],"activity elder than 1,5 years"
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,8,[10],activity elder than 2 years
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,9,[10],activity elder than 3 years
,D19_BANKEN_DATUM,1,actuality of the last transaction for the segment banks TOTAL,10,[10],no transactions known
D19_BANKEN_DIREKT_RZ,D19_BANKEN_DIREKT_RZ,0,transactional activity based on the product group DIRECT BANKS - on grid level -,0,[0],no transaction known
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,6,[0],Buyer > 24 months
,D19_BANKEN_DIREKT_RZ,1,transactional activity based on the product group DIRECT BANKS - on grid level -,7,[0],Prospects > 24 months
D19_BANKEN_GROSS_RZ,D19_BANKEN_GROSS_RZ,0,transactional activity based on the product group BIG BANKS - on grid level -,0,[0],no transaction known
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,6,[0],Buyer > 24 months
,D19_BANKEN_GROSS_RZ,1,transactional activity based on the product group BIG BANKS - on grid level -,7,[0],Prospects > 24 months
D19_BANKEN_LOKAL_RZ,D19_BANKEN_LOKAL_RZ,0,transactional activity based on the product group LOCAL BANKS - on grid level -,0,[0],no transaction known
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,6,[0],Buyer > 24 months
,D19_BANKEN_LOKAL_RZ,1,transactional activity based on the product group LOCAL BANKS - on grid level -,7,[0],Prospects > 24 months
D19_BANKEN_OFFLINE_DATUM,D19_BANKEN_OFFLINE_DATUM,0,actuality of the last transaction for the segment banks OFFLINE,1,[10],highest activity within the last 12 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,2,[10],very high activity within the last 12 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,3,[10],high activity within the last 12 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,4,[10],increased activity within the last 12 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,5,[10],slightly increased activity within the last 12 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,6,[10],activity elder than 12 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,7,[10],activity elder than 18 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,8,[10],activity elder than 24 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,9,[10],activity elder than 36 months
,D19_BANKEN_OFFLINE_DATUM,1,actuality of the last transaction for the segment banks OFFLINE,10,[10],no transactions known
D19_BANKEN_ONLINE_DATUM,D19_BANKEN_ONLINE_DATUM,0,actuality of the last transaction for the segment banks ONLINE,1,[10],highest activity within the last 12 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,2,[10],very high activity within the last 12 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,3,[10],high activity within the last 12 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,4,[10],increased activity within the last 12 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,5,[10],slightly increased activity within the last 12 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,6,[10],activity elder than 12 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,7,[10],activity elder than 18 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,8,[10],activity elder than 24 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,9,[10],activity elder than 36 months
,D19_BANKEN_ONLINE_DATUM,1,actuality of the last transaction for the segment banks ONLINE,10,[10],no transactions known
D19_BANKEN_ONLINE_QUOTE_12,D19_BANKEN_ONLINE_QUOTE_12,0,amount of online transactions within all transactions in the segment bank,0,[0],no Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,1,[0],10% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,2,[0],20% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,3,[0],30% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,4,[0],40% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,5,[0],50% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,6,[0],60% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,7,[0],70% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,8,[0],80% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,9,[0],90% Online-transactions within the last 12 months
,D19_BANKEN_ONLINE_QUOTE_12,1,amount of online transactions within all transactions in the segment bank,10,[0],100% Online-transactions within the last 12 months
D19_BANKEN_REST_RZ,D19_BANKEN_REST_RZ,0,transactional activity based on the product group FURTHER BANKS - on grid level -,0,[0],no transaction known
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,6,[0],Buyer > 24 months
,D19_BANKEN_REST_RZ,1,transactional activity based on the product group FURTHER BANKS - on grid level -,7,[0],Prospects > 24 months
D19_BEKLEIDUNG_GEH_RZ,D19_BEKLEIDUNG_GEH_RZ,0,transactional activity based on the product group LUXURY CLOTHING - on grid level -,0,[0],no transaction known
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,6,[0],Buyer > 24 months
,D19_BEKLEIDUNG_GEH_RZ,1,transactional activity based on the product group LUXURY CLOTHING - on grid level -,7,[0],Prospects > 24 months
D19_BEKLEIDUNG_REST_RZ,D19_BEKLEIDUNG_REST_RZ,0,transactional activity based on the product group FURTHER CLOTHING - on grid level -,0,[0],no transaction known
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,6,[0],Buyer > 24 months
,D19_BEKLEIDUNG_REST_RZ,1,transactional activity based on the product group FURTHER CLOTHING - on grid level -,7,[0],Prospects > 24 months
D19_BILDUNG_RZ,D19_BILDUNG_RZ,0,transactional activity based on the product group EDUCATION - on grid level -,0,[0],no transaction known
,D19_BILDUNG_RZ,1,transactional activity based on the product group EDUCATION - on grid level -,1,[0],Multibuyer 0-12 months
,D19_BILDUNG_RZ,1,transactional activity based on the product group EDUCATION - on grid level -,2,[0],Doublebuyer 0-12 months
,D19_BILDUNG_RZ,1,transactional activity based on the product group EDUCATION - on grid level -,3,[0],Singlebuyer 0-12 months
,D19_BILDUNG_RZ,1,transactional activity based on the product group EDUCATION - on grid level -,4,[0],Multi-/Doublebuyer 13-24 months
,D19_BILDUNG_RZ,1,transactional activity based on the product group EDUCATION - on grid level -,5,[0],Singlebuyer 13-24 months
,D19_BILDUNG_RZ,1,transactional activity based on the product group EDUCATION - on grid level -,6,[0],Buyer > 24 months
